word1	word2	freq	bin	ppmi
school	school	1.0	1.0	1.0
school	back	0.829261402467	0.245999260548	0.103149025169
school	ppmi	nan	nan	nan
back	school	0.829261402467	0.245999260548	0.103149025169
back	back	1.0	1.0	1.0
back	ppmi	nan	nan	nan
ppmi	school	nan	nan	nan
ppmi	back	nan	nan	nan
ppmi	ppmi	nan	nan	nan
