target1	target2	cosine_rawcount	cosine_ppmi	cosine_binary
fantastic_sarcastic	fantastic_sarcastic	1.0	1.0	1.0
fantastic_sarcastic	sweet_sarcastic	0.851374756117	0.140820623087	0.233754406384
fantastic_sarcastic	wonderful_sarcastic	0.904415276601	0.266942309284	0.381002839091
fantastic_sarcastic	lovely_sarcastic	0.932289554623	0.237992109743	0.331422119724
fantastic_sarcastic	super_sarcastic	0.905413581936	0.16350751046	0.221505820296
fantastic_sarcastic	wonder_sarcastic	0.827997431282	0.0779988944002	0.134916146945
sweet_sarcastic	fantastic_sarcastic	0.851374756117	0.140820623087	0.233754406384
sweet_sarcastic	sweet_sarcastic	1.0	1.0	1.0
sweet_sarcastic	wonderful_sarcastic	0.892762584665	0.169803089571	0.232983817934
sweet_sarcastic	lovely_sarcastic	0.923811993055	0.1722866535	0.264104081907
sweet_sarcastic	super_sarcastic	0.877009370311	0.106030245118	0.188126593574
sweet_sarcastic	wonder_sarcastic	0.796245605694	0.108394999456	0.169297228498
wonderful_sarcastic	fantastic_sarcastic	0.904415276601	0.266942309284	0.381002839091
wonderful_sarcastic	sweet_sarcastic	0.892762584665	0.169803089571	0.232983817934
wonderful_sarcastic	wonderful_sarcastic	1.0	1.0	1.0
wonderful_sarcastic	lovely_sarcastic	0.944531055289	0.302057008314	0.42140808389
wonderful_sarcastic	super_sarcastic	0.875574252137	0.154851270929	0.23833730647
wonderful_sarcastic	wonder_sarcastic	0.812795089505	0.155517354326	0.21503307225
lovely_sarcastic	fantastic_sarcastic	0.932289554623	0.237992109743	0.331422119724
lovely_sarcastic	sweet_sarcastic	0.923811993055	0.1722866535	0.264104081907
lovely_sarcastic	wonderful_sarcastic	0.944531055289	0.302057008314	0.42140808389
lovely_sarcastic	lovely_sarcastic	1.0	1.0	1.0
lovely_sarcastic	super_sarcastic	0.912611740193	0.150384385349	0.22002980364
lovely_sarcastic	wonder_sarcastic	0.809580404283	0.0900696434917	0.156119232808
super_sarcastic	fantastic_sarcastic	0.905413581936	0.16350751046	0.221505820296
super_sarcastic	sweet_sarcastic	0.877009370311	0.106030245118	0.188126593574
super_sarcastic	wonderful_sarcastic	0.875574252137	0.154851270929	0.23833730647
super_sarcastic	lovely_sarcastic	0.912611740193	0.150384385349	0.22002980364
super_sarcastic	super_sarcastic	1.0	1.0	1.0
super_sarcastic	wonder_sarcastic	0.86372409795	0.138435235801	0.184081013473
wonder_sarcastic	fantastic_sarcastic	0.827997431282	0.0779988944002	0.134916146945
wonder_sarcastic	sweet_sarcastic	0.796245605694	0.108394999456	0.169297228498
wonder_sarcastic	wonderful_sarcastic	0.812795089505	0.155517354326	0.21503307225
wonder_sarcastic	lovely_sarcastic	0.809580404283	0.0900696434917	0.156119232808
wonder_sarcastic	super_sarcastic	0.86372409795	0.138435235801	0.184081013473
wonder_sarcastic	wonder_sarcastic	1.0	1.0	1.0
fantastic_genuine	fantastic_genuine	1.0	1.0	1.0
fantastic_genuine	sweet_genuine	0.851374756117	0.357432350778	0.442686082076
fantastic_genuine	wonderful_genuine	0.904415276601	0.479387292657	0.563140042883
fantastic_genuine	lovely_genuine	0.932289554623	0.454184432835	0.541611033643
fantastic_genuine	super_genuine	0.905413581936	0.427247411914	0.507694526674
fantastic_genuine	wonder_genuine	0.827997431282	0.336525593579	0.441809868999
sweet_genuine	fantastic_genuine	0.851374756117	0.357432350778	0.442686082076
sweet_genuine	sweet_genuine	1.0	1.0	1.0
sweet_genuine	wonderful_genuine	0.892762584665	0.397871811325	0.482030082554
sweet_genuine	lovely_genuine	0.923811993055	0.435521067692	0.516969569015
sweet_genuine	super_genuine	0.877009370311	0.394684158405	0.493795214033
sweet_genuine	wonder_genuine	0.796245605694	0.313354208211	0.433223258209
wonderful_genuine	fantastic_genuine	0.904415276601	0.479387292657	0.563140042883
wonderful_genuine	sweet_genuine	0.892762584665	0.397871811325	0.482030082554
wonderful_genuine	wonderful_genuine	1.0	1.0	1.0
wonderful_genuine	lovely_genuine	0.944531055289	0.502640747659	0.583948315345
wonderful_genuine	super_genuine	0.875574252137	0.409256262575	0.493115577744
wonderful_genuine	wonder_genuine	0.812795089505	0.31854960608	0.432239686624
lovely_genuine	fantastic_genuine	0.932289554623	0.454184432835	0.541611033643
lovely_genuine	sweet_genuine	0.923811993055	0.435521067692	0.516969569015
lovely_genuine	wonderful_genuine	0.944531055289	0.502640747659	0.583948315345
lovely_genuine	lovely_genuine	1.0	1.0	1.0
lovely_genuine	super_genuine	0.912611740193	0.42816207584	0.505886567683
lovely_genuine	wonder_genuine	0.809580404283	0.305870778831	0.42142206178
super_genuine	fantastic_genuine	0.905413581936	0.427247411914	0.507694526674
super_genuine	sweet_genuine	0.877009370311	0.394684158405	0.493795214033
super_genuine	wonderful_genuine	0.875574252137	0.409256262575	0.493115577744
super_genuine	lovely_genuine	0.912611740193	0.42816207584	0.505886567683
super_genuine	super_genuine	1.0	1.0	1.0
super_genuine	wonder_genuine	0.86372409795	0.376355080241	0.494250716002
wonder_genuine	fantastic_genuine	0.827997431282	0.336525593579	0.441809868999
wonder_genuine	sweet_genuine	0.796245605694	0.313354208211	0.433223258209
wonder_genuine	wonderful_genuine	0.812795089505	0.31854960608	0.432239686624
wonder_genuine	lovely_genuine	0.809580404283	0.305870778831	0.42142206178
wonder_genuine	super_genuine	0.86372409795	0.376355080241	0.494250716002
wonder_genuine	wonder_genuine	1.0	1.0	1.0
