target1,target2,cosine_rawcount,cosine_ppmi,cosine_binary
fantastic_sarcastic,fantastic_sarcastic,1.0,1.0,1.0
fantastic_sarcastic,sweet_sarcastic,0.0782640355996,0.298059778501,0.363617965487
fantastic_sarcastic,wonderful_sarcastic,0.122053093195,0.267952928547,0.3352824984
fantastic_sarcastic,lovely_sarcastic,0.710204051317,0.221518726995,0.286414177539
fantastic_sarcastic,super_sarcastic,0.66434127586,0.155507571738,0.181232034788
fantastic_sarcastic,wonder_sarcastic,0.0689458430458,0.165188152543,0.222429323342
sweet_sarcastic,fantastic_sarcastic,0.100996363215,0.170214213861,0.238948948748
sweet_sarcastic,sweet_sarcastic,1.0,1.0,1.0
sweet_sarcastic,wonderful_sarcastic,0.0865602658872,0.153469803742,0.198467696759
sweet_sarcastic,lovely_sarcastic,0.0695687393583,0.163068931543,0.166802578046
sweet_sarcastic,super_sarcastic,0.171123006786,0.171681362606,0.188126593574
sweet_sarcastic,wonder_sarcastic,0.103535018546,0.129028788202,0.198201633364
wonderful_sarcastic,fantastic_sarcastic,0.132025684126,0.234329578631,0.274322044146
wonderful_sarcastic,sweet_sarcastic,0.0865602658872,0.153469803742,0.198467696759
wonderful_sarcastic,wonderful_sarcastic,1.0,1.0,1.0
wonderful_sarcastic,lovely_sarcastic,0.0494985732581,0.228564568373,0.258282373997
wonderful_sarcastic,super_sarcastic,0.0685817653113,0.152524343995,0.209067812693
wonderful_sarcastic,wonder_sarcastic,0.158472228505,0.214558437148,0.266519864197
lovely_sarcastic,fantastic_sarcastic,0.0633933881231,0.228858742525,0.245497866462
lovely_sarcastic,sweet_sarcastic,0.0695687393583,0.163068931543,0.166802578046
lovely_sarcastic,wonderful_sarcastic,0.0494985732581,0.228564568373,0.258282373997
lovely_sarcastic,lovely_sarcastic,1.0,1.0,1.0
lovely_sarcastic,super_sarcastic,0.0777903961684,0.152318079322,0.188596974548
lovely_sarcastic,wonder_sarcastic,0.0803140335935,0.216961816869,0.234178849211
super_sarcastic,fantastic_sarcastic,0.661823109869,0.13907243117,0.166129365222
super_sarcastic,sweet_sarcastic,0.171123006786,0.171681362606,0.188126593574
super_sarcastic,wonderful_sarcastic,0.0685817653113,0.152524343995,0.209067812693
super_sarcastic,lovely_sarcastic,0.0777903961684,0.152318079322,0.188596974548
super_sarcastic,super_sarcastic,1.0,1.0,1.0
super_sarcastic,wonder_sarcastic,0.133097331475,0.14574636721,0.18007925231
wonder_sarcastic,fantastic_sarcastic,0.0689458430458,0.165188152543,0.222429323342
wonder_sarcastic,sweet_sarcastic,0.103535018546,0.129028788202,0.198201633364
wonder_sarcastic,wonderful_sarcastic,0.158472228505,0.214558437148,0.266519864197
wonder_sarcastic,lovely_sarcastic,0.0803140335935,0.216961816869,0.234178849211
wonder_sarcastic,super_sarcastic,0.133097331475,0.14574636721,0.18007925231
wonder_sarcastic,wonder_sarcastic,1.0,1.0,1.0
fantastic_genuine,fantastic_genuine,1.0,1.0,1.0
fantastic_genuine,sweet_genuine,0.100996363215,0.170214213861,0.238948948748
fantastic_genuine,wonderful_genuine,0.132025684126,0.234329578631,0.274322044146
fantastic_genuine,lovely_genuine,0.0633933881231,0.228858742525,0.245497866462
fantastic_genuine,super_genuine,0.661823109869,0.13907243117,0.166129365222
fantastic_genuine,wonder_genuine,0.0689458430458,0.165188152543,0.222429323342
sweet_genuine,fantastic_genuine,0.100996363215,0.170214213861,0.238948948748
sweet_genuine,sweet_genuine,1.0,1.0,1.0
sweet_genuine,wonderful_genuine,0.0865602658872,0.153469803742,0.198467696759
sweet_genuine,lovely_genuine,0.0695687393583,0.163068931543,0.166802578046
sweet_genuine,super_genuine,0.171123006786,0.171681362606,0.188126593574
sweet_genuine,wonder_genuine,0.103535018546,0.129028788202,0.198201633364
wonderful_genuine,fantastic_genuine,0.132025684126,0.234329578631,0.274322044146
wonderful_genuine,sweet_genuine,0.0865602658872,0.153469803742,0.198467696759
wonderful_genuine,wonderful_genuine,1.0,1.0,1.0
wonderful_genuine,lovely_genuine,0.0494985732581,0.228564568373,0.258282373997
wonderful_genuine,super_genuine,0.0685817653113,0.152524343995,0.209067812693
wonderful_genuine,wonder_genuine,0.158472228505,0.214558437148,0.266519864197
lovely_genuine,fantastic_genuine,0.0633933881231,0.228858742525,0.245497866462
lovely_genuine,sweet_genuine,0.0695687393583,0.163068931543,0.166802578046
lovely_genuine,wonderful_genuine,0.0494985732581,0.228564568373,0.258282373997
lovely_genuine,lovely_genuine,1.0,1.0,1.0
lovely_genuine,super_genuine,0.0777903961684,0.152318079322,0.188596974548
lovely_genuine,wonder_genuine,0.0803140335935,0.216961816869,0.234178849211
super_genuine,fantastic_genuine,0.661823109869,0.13907243117,0.166129365222
super_genuine,sweet_genuine,0.171123006786,0.171681362606,0.188126593574
super_genuine,wonderful_genuine,0.0685817653113,0.152524343995,0.209067812693
super_genuine,lovely_genuine,0.0777903961684,0.152318079322,0.188596974548
super_genuine,super_genuine,1.0,1.0,1.0
super_genuine,wonder_genuine,0.133097331475,0.14574636721,0.18007925231
wonder_genuine,fantastic_genuine,0.0689458430458,0.165188152543,0.222429323342
wonder_genuine,sweet_genuine,0.103535018546,0.129028788202,0.198201633364
wonder_genuine,wonderful_genuine,0.158472228505,0.214558437148,0.266519864197
wonder_genuine,lovely_genuine,0.0803140335935,0.216961816869,0.234178849211
wonder_genuine,super_genuine,0.133097331475,0.14574636721,0.18007925231
wonder_genuine,wonder_genuine,1.0,1.0,1.0
